Level	Rule Name	Subject	Property	Value
ERROR	missing_label	SEPIO:0000187	rdfs:label	
WARN	missing_definition	specified value	IAO:0000115	
WARN	missing_definition	numerical specified value	IAO:0000115	
WARN	missing_definition	unit qualified scalar specified value	IAO:0000115	
WARN	missing_definition	unit	IAO:0000115	
WARN	missing_definition	has textual representation	IAO:0000115	
WARN	missing_definition	has value	IAO:0000115	
WARN	missing_definition	has numerical value	IAO:0000115	
WARN	missing_definition	has temporal value	IAO:0000115	
WARN	missing_definition	has text value	IAO:0000115	
WARN	missing_definition	SEPIO:0000187	IAO:0000115	
WARN	missing_definition	description	IAO:0000115	
WARN	missing_definition	license	IAO:0000115	
WARN	missing_definition	title	IAO:0000115	
INFO	lowercase_definition	service delivery	IAO:0000115	"- A planned process that aims at fulfilling the commitments of a service agreement.

- A planned process that is maximally directed by a service agreement specification.@en"
INFO	missing_superclass	informational filler	rdfs:subClassOf	
INFO	missing_superclass	service delivery	rdfs:subClassOf	
INFO	missing_superclass	temporal information	rdfs:subClassOf	
